CLIENTNUMBER,EntityType,ClientName,UnitDescription,Street,City,State_Prov,Country,Fax Number,EMail,URL,Zip Code,Telephone Number,Date Acquired,CountryCode,Industry,DateEntered,ClientType,AccountOfficer,ContactPerson
27465,,COMPUTER PATENT ANNUITIES,,P. O. Box 778,Jersey JE1 1BL,Channel Islands,,,,,,,,,,8/8/2014,,,
27471,2,AMERICAN GREETINGS CORPORATION,,One American Road,"Cleveland, Ohio 44144-2398",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
27484,2,BASKIN-ROBBINS INTERNATIONAL CO.,,31 Baskin-Robbins Place,"Glendale, CA 91201",U. S. A.,,,,,,,,USA,,8/8/2014,D,INTERNATIONAL HEADQUARTERS,INTERNATIONAL HEADQUARTERS
27499,2,BURDICK & ASSOCIATES,,3656 Western Avenue,"Alton, Il. 62002-3156",U. S. A.,,,,,,,,USA,,8/8/2014,D,.,.
27501,2,"INOUE, FUSE & ASSOCIATES",,"Ogikubo TM Bldg. 2F,","5-26-13, Ogikubo,","Suginami-ku,Tokyo 167, Japan",,,,,,,,JPN,,8/8/2014,D,,
27516,2,"WEINTRAUB, DUROSS & BRADY",,"30200 Telegraph Road, Suite 200",Bingham Farms,"Michigan 48025-4505, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
27520,0,CILAG INTERNATIONAL COMMERCIAL DEVELOPMENT,,c/o JOHNSON & JOHNSON INT'L PATENT LAW DIVISION,P. O. Box 1222,"New Brunswick, N. J. 08903, U. S. A.",,,,,,,,USA,,8/8/2014,D,Mr. Ralph R. Palo,Mr. Ralph R. Palo
27535,2,AKOO-TOREN,,521 Fifth Avenue,"New York, N. Y. 10175",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
27541,2,TODA PATENT OFFICE,,Hogaku Building 503,"19-14, Toranomon 1-chome","Minato-ku, Tokyo, Japan",,,,,,,,JPN,,8/8/2014,D,,
27554,2,"JOHNSON & JOHNSON VISION PRODUCTS, INC.",,c/o JOHNSON & JOHNSON INT'L PATENT,P.O. BOX 1222,"New Brunswick, N.J. 08903, U. S. A.",,,,,,,,USA,,8/8/2014,D,.,.
27569,2,"WOLF, BLOCK, SCHORR AND SOLIS-COHEN",,Twelfth Floor Packard Building,S.E. corner 15th and Chestnut Streets,"Philadelphia, PA 19102-2678",,,,,,,,USA,,8/8/2014,D,,
27573,2,"FIRST LAW, LEE & KO",,Seocho P.O. Box 437,"17th Fl., KEC Building","275-7 Yangjae-Dong, Seocho-ku, Seoul, Korea",,,,,,,,KR,,8/8/2014,D,,
27588,2,"JOHNSON & JOHNSON MEDICAL, INC.",,INTERNATIONAL PATENT LAW DIVISION,P. O. Box 1222,"New Brunswick, N.J. 08903, U. S. A.",,,,,,,,USA,,8/8/2014,D,.,.
27592,2,WOMBLE CARYLE SANDRIDGE & RICE,,Post Office Drawer 84,"Winston-Salem, North Carolina 27102",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attn.: Ms. Carolyn B. Rainbow,Attn.: Ms. Carolyn B. Rainbow
27605,2,YAMAZAKI & ASSOCIATES,,1103 Hamamatsucho Daiya Heights,"No. 2-15, Hamamatsucho 2-chome","Minato-ku, Tokyo 105 Japan",,,,,,,,JPN,,8/8/2014,D,Attn.:  MR. KEISUKE MIYAKE,Attn.:  MR. KEISUKE MIYAKE
27611,2,"JOHNSON & JOHNSON VISION PRODUCTS, INC.",,c/o JOHNSON & JOHNSON,P. O. Box 1222,"New Brunswick, N.J. 08903, U. S. A.",,,,,,,,USA,,8/8/2014,D,.,.
27624,2,BJ TRADING COMPANY,,Attn.: Ms. Virginia G. Dela Cruz,111 Antipolo Street,"Maypajo 1400, Caloocan City",,,,,,,,PH,,8/8/2014,P,,
27639,2,JOHNSON & JOHNSON MEDICAL PHILIPPINES,,Attn.: Atty. Danilo Macatangay,"Km. 15, Bo. Ibayo, Edison Road",Paranaque City,,,,,,,,PH,,8/8/2014,P,,
27643,2,INGLENOOK FOODS CORPORATION,,Navotas Fish Port Complex,Wharf Side,"Navotas, Metro Manila",,,,,,,,PH,,8/8/2014,P,,
30275,2,KAO CORPORATION,,"14-10, Nihobashi Kayabacho","1-chome, Chuo-ku, Tokyo",103-8210 Japan,,,,,,,,JPN,,8/8/2014,D,Trademarks Department,Trademarks Department
30281,,WERNER,,93 Werner Road,"Greenville, PA 16125-9499",,,,,,,,,,,8/8/2014,,Corporate Headquarters,Corporate Headquarters
30294,2,"SANYO ELECTRIC CO., LTD.",,"5-5, Keihan-Hondori 2-chome",Moriguchi City,"Osaka 570, Japan",,,,,,,,JPN,,8/8/2014,D,,
30307,2,STUDIO TECNICO-LEGALE RAPISARDI,,"Largo vo alpini, 15",20145 Milano,Italy,,,,,,,,IT,,8/8/2014,D,.,.
30311,2,"KAWANARI AND ASSOCIATES, INC.",,I.P.O. Box 5071,Tokyo 100-31,Japan,,,,,,,,JPN,,8/8/2014,D,,
30326,2,SPOOR AND FISHER,,P.O. Box 454,Pretoria 0001,South Africa,,,,,,,,SA,,8/8/2014,D,,
30330,2,"JONES, DAY, REAVIS & POGUE",,North Point,901 Lakeside Avenue,"Cleveland, Ohio 44114-1190",,,,,,,,USA,,8/8/2014,D,,
30345,2,FERNANDEZ MANZO Y ASOCIADOS A.P.,,P. O. Box  6-659,Calle De Puebla,174-2 COL. ROMA 06700,Mexico,(52) (55) 5207-39-11,fmalaw@profigy.net.mx,,,,,ME,,8/8/2014,D,,
30351,2,MASUDA INTERNATIONAL PATENT OFFICE,,"Ginza 001 Building, 10-5",Ginza 2-chome,"Chuo-ku, Tokyo, Japan",,,,,,,,JPN,,8/8/2014,D,,
30364,2,"ROSENBERG, KLEIN & BILKER",,3444 Ellicott Center Drive - Suite 105,"Ellicott City, Maryland 21043",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30379,2,"MCWILLIAMS, MANN, ZUMMER & SWEENEY",,"Suite 1215, 53 West Jackson Boulevard","Chicago, Illinois 60604",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30383,2,W. P. LAI & COMPANY,,P. O. Box 0399,PSA Building,Singapore 9111,,,,,,,,SG,,8/8/2014,D,,
30398,2,NAGATA & PARTNERS,,"7th Floor Shiroguchi Bldg.,","2-15 Kakuda-cho, Kita-ku","Osaka, 530-0017 Japan",,,,,,,,JPN,,8/8/2014,D,,
30400,2,"LAHIVE  & COCKFIELD, LLP",,One Post Office Square,"30th Floor, Boston MA 02109-2121",U.S.A,,(617) 742-4214,,,,(617) 227-4214,,USA,,8/8/2014,D,THIMOTHY  J. DOUROS,THIMOTHY  J. DOUROS
30415,2,KOBAYASHI INTERNATIONAL PATENT OFFICE,,"DOI Building 4F.,",2-7 Toranomon 5-chome,"Minato-ku, Tokyo 105, Japan",,,,,,,,JPN,,8/8/2014,D,,
30421,2,THE MEAD CORPORATION,,"World Headquarters, Courthouse N.E.","Dayton, Ohio 45463",U. S. A.,,,,,,,,USA,,8/8/2014,D,"Attn.:  Mr. Charles N. Shane, Jr.","Attn.:  Mr. Charles N. Shane, Jr."
30434,2,"SAINT ISLAND INTELLECTUAL PROPERTY CO., LTD.",,"6F-1, No. 248, Section 3","Nanking East Road, Taipei 105-95","TAIWAN, R.O.C.",CHINA,886-2-2731-6377,,,,886-2-2775-1823,,CH,,8/8/2014,D,JENNIFER W.L. CHANG,JENNIFER W.L. CHANG
30449,2,SYNTEX (U.S.A.) INC.,,3401 Hillview Avenue,P. O. Box 10850,"Palo Alto, California 94303, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
30453,2,UM UNION MINIERE,,Leemanslaan 36,B-2250 Olen,Belgium,,,,,,,,BEL,,8/8/2014,D,,
30468,2,"SERVICEMASTER INDUSTRIES, INC.",,2300 Warrenville Road,"Downers Grove, Illinois 60515",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attn.: Mr. C. D. Gustafson,Attn.: Mr. C. D. Gustafson
30472,2,VEAL & MARSH,,"2001 Park Place North, Suite 525","Birmingham, Alabama 35203",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30487,2,GAUTHIER & CONNORS LLP,,"225 Franklin Street, Suite 2300","Boston, Massachusetts 02110",U. S. A.,UNITED STATES OF AMERICA,(617) 426-2275,,,,617-426-9180 ext. 114,,USA,,8/8/2014,D,,
30491,2,TENNECO AUTOMOTIVE,,Attn.: Mr. Robert Zapinski,500 North Field Drive,"Lake Forest, Illinois 60045 USA",,,,,,,,USA,,8/8/2014,D,,
30504,2,"PFIZER PHILS.,INC.",,Attn.: MR. VIC BATACLAN,23rd Flr. Ayala Life-FGU Center,"6811 Ayala Ave., Makati City 1200",,,,,,,,PH,,8/8/2014,D,,
30510,1,"PFIZER PHILS.,INC.",,Attn.: Mr. Albert Mateo,23RD Flr. Ayala Life-FGU Ctr.,"6811 Ayala Ave., Makati City",,(632) 864-35-88 OR 89,,,, 888-60-01,,PH,,8/8/2014,P,,
30519,2,"SKJERVEN, MORRILL, MACPHERSON, FRANKLIN  & FRIEL",,"25 Metro Drive, Suite 700","San Jose, California 95110",U. S. A.,,,,,,,,USA,,8/8/2014,D,.,.
30523,2,JABBUSCH-ARENDT & WESHER - Dipl.-Ing. H. Arendt,,BergiusstraBe 2c,D-30655 Hannover,Germany,,0441-1 57 80,,,,0441-2 54 07,,GER,,8/8/2014,D,.,.
30538,2,HUNTON & WILLIAMS,,200 Park Avenue,"New York, New York 10166-0136",U. S. A.,,,,,,,,USA,,8/8/2014,D,"Attn.:  GEORGE P. KRAMER, ESQ.","Attn.:  GEORGE P. KRAMER, ESQ."
30542,2,TANDY CORPORATION,,"100 Throckmorton St., Suite 1700",P.O. Box. 17180 Forth Worth,Texas 76102 U.S.A.,,,,,,,,USA,,8/8/2014,D,Mr. John F. McGowan,Mr. John F. McGowan
30557,2,"STUART E. BECK, P.C.",,Suite 601,"One Penn Center, 1617 JFK Boulevard","Philadelphia, PA 19103",,,,,,,,USA,,8/8/2014,D,,
30561,2,JANSSEN PHARMACEUTICA  N.V.,,Turnhoutseweg 30,"2340 BEERSE, BELGIUM",VAT nr: BE403834160,BEL, 14 60 59 96,raerts@its.jnj.com,,, 14 60 38 61,,BEL,,8/19/2014,D,Joris Van Gestel,
30561-E,2,JANSSEN PHARMACEUTICA N.V.  (PO0297845R),,J&J Patent Law Dept. Beerse,"Turnhoutseweg 30 B-2340, Beerse",Belgium     VAT NO. BE 0403.834.160,BELGIUM,,,,,,,BEL,,8/8/2014,D,,
30565,2,JANSSEN PHARMACEUTICA N.V.,,Turnhoutseweg 30,"2340 Beerse, Belgium",VAT nr: BE403834160,BELGIUM,,,,,,,BEL,,8/8/2014,D,,
30567,2,JOHNSON & JOHNSON (PHILIPPINES) INC.,,P.O. Box 2007,Makati Commercial Center,"Makati, Metro Manila 3117",PHILIPPINES,,,,,,,PH,,8/8/2014,P,,
30576,2,JENNER & BLOCK,,One IBM Plaza,"Chicago, Illinois 60611",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30580,1,Johnson & Johnson,"(Philippines), Inc.","KM 14 Edison Road, Merville","City of Paranaque, NCR, Fourth District",TIN 000-409-474-00000,PHILIPPINES 1700,,,,,,,PH,,12/7/2018,P,,J&J Mailroom
30595,2,"MERCURY GROUP OF COMPANIES, INC.",,Attn.: Atty. Edgardo Valbuena,No. 7 Mercury Avenue cor. E. Rodriguez  Jr.,Bagumbayan 1110 Quezon City,PH,632-911-6673,,,,911-5071,,PH,,1/27/2015,P,,
30600,2,PHILUSA CORPORATION,,"c/o Mercury Group of Companies, Inc.",Legal Division,"7 Mercury Avenue, Bagumbayan, Quezon City",PH,,,,,,,PH,,1/26/2015,P,,
30602,2,"MLM FOODS, INC.",,"c/o Mercury Group of Cos., Inc.",Legal Division,"7 Mercury Avenue, Bagumbayan, Quezon City",,,,,,,,PH,,2/26/2015,P,,
30608,2,"SCHORRE, USZKURUT UND PARTNER",,Attention:  MR. PFEIFFER,"Kolner Strasse 259, Postfach 10 06 14","D-W-5270 Gummersbach, Switzerland",,,,,,,,SW,,8/8/2014,D,MANAGEMENTBERATUNG GMBH,MANAGEMENTBERATUNG GMBH
30612,2,MORRISON & FOERSTER,,755 Page Mill Road,"Palo Alto, California 94304-1018",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attn.:  MS. KATE S. MURASHIGE,Attn.:  MS. KATE S. MURASHIGE
30627,2,TEXTILES Y CONFECCIONES EUROPEAS/SA,,"Barcas, 2-Valencia-2",Espana,,,,,,,,,ES,,8/8/2014,D,.,.
30631,2,THE VALSPAR CORPORATION,,Attn.: Ms. Lisa Dahline,1101 South Third Street,"Minneapolis, MN 55415",U. S. A.,,,,,,,PH,,8/8/2014,D,.,.
30646,2,TSUKUNI & ASSOCIATES,,"Kasumigaseki Tokyo Bldg.,","7-1, Kasumigaseki 3-chome,","Chiyoda-ku, Tokyo 100-0013",Japan,813-3502-7218,,,,813-3502-7211,,JPN,,8/8/2014,D,Hajime Tsukuni,Hajime Tsukuni
30650,2,ADVOKATNI PORADNA 10 V PRAZE,,115 04 Praha 1,Zitna 25,Czechoslovakia,,,,,,,,CZ,,8/8/2014,D,,
30665,2,NOVAGRAAF,,Chemin de l'Echo 3,"1213 Onex, Geneva",,SWITZERLAND,,,,,,,SW,,8/8/2014,D,,
30671,,PINKERTON CONSULTING SERVICES,,Thomas Jefferson Cultural Center,395 Sen. Gil Puyat Avenue,Makati City,,,,,,,,PH,,8/8/2014,,Attention:  MR. JEFFREY A. WILLIAMS,Attention:  MR. JEFFREY A. WILLIAMS
30684,2,IAT WORLD PATENT LAW FIRM,(FORMERLY JIRO TANAKA & CO.),"7th Floor, HULIC Nakano Bldg.,","44-18, Honcho 4-chome, Nakano-ku,","Tokyo 164-0012, Japan",,813-5342-1182,j-tanaka@w-pat.com,,,813-5342-1181,,JPN,,11/11/2015,D,JIRO TANAKA,JIRO TANAKA
30699,2,"W. THAD ADAMS, III",,2180 First Union Plaza,301 S. Tyron Street,"Charlotte, North Carolina 28282, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
30701,2,"IMPORTADORA DE COSMETICOS, S.A.",,"Tuset 5-11, 5 E","08006 Barcelona, Spain",,,,,,,,,ES,,8/8/2014,D,,
30716,2,SANYO PATENT CENTER,,"18, Keihan Hondori 2-chome",Moriguchi City,"Osaka 570, Japan",,,,,,,,JPN,,8/8/2014,D,,
30720,0,"STANGHED, ARWIDSON & ANDRELL",,Narvavagen 30,Box 27712,"S-115 91 Stockholm, Sweden",,,,,,,,SE,,8/8/2014,D,,
30735,2,IZUMI AMANO & CO.,,"Maruhiro Kyobashi Bldg., 9th Floor,","1-5-12 Kyobashi, Chuo-ku,",Tokyo 104-0031 Japan,,813-3231-8820,,,,813-6225-2270,,JPN,,8/8/2014,D,,
30741,2,"RUDNICK, WOLFE, EPSTIEN & ZEIDMAN",,"1201 New York Avenue, N.W.",Penthouse,"Washington, D.C. 20005-3919",,,,,,,,USA,,8/8/2014,D,,
30754,2,SUZUKI & CO.,(MERGED WITH SAEGUSA),Honmachi Terada Bldg. 6th Floor,"5-31, Kyutaromachi 2-chome","Chuo-ku, Osaka 541-0056 Japan",,,,,,,,JPN,,8/25/2016,D,,
30769,2,"PARKER & DE STEFANO, P.C.",,300 Preston Avenue,Suite 300,"Charlottesville, VA 22902-5044, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
30773,2,"TECHNORESEARCH CO., LTD.",,1115-1 Kaminishi-cho,"Hamamatsu-shi, Shizuoka-ken",Japan 435,,,,,,,,JPN,,8/8/2014,D,,
30788,2,LAGAP SA,,Via Cantonale 1,P. O. Box 7 6943 Vezia,Switzerland,,,,,,,,SW,,8/8/2014,D,.,.
30792,2,JOHNSON & JOHNSON S. A.,,"Apartado 79, 28080",Madrid,Spain,,,,,,,,ES,,8/8/2014,D,,
30805,2,JANSSEN PHARMACEUTICA INC.,,1125 Trenton-Harbourton Road,"Titusville, New Jersey 08560-0200",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30811,2,PATENTANWALTE STERNAGEL & FLEISCHER,,Braunsberger Feld 29,D-51429 Bergisch Gladbach,Germany,,,,,,,,GER,,8/8/2014,D,,
30824,2,"LOCKWOOD, ALEX, FITZGIBBON & CUMMINGS",,Suite 1700,Three First National Plaza,"Braunsberger Feld 29, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
30839,2,PATENT SERVICE CORPORATION,,"17-15-703, Takadanobaba",4-chome Shinjuku-ku,Tokyo 169-0075 Japan,,,,,,,,JPN,,8/8/2014,D,,
30843,2,"ROGERS, BERESKIN & PARR",,P. O. Box 401,40 King Street West,"Toronto, Canada M5H 3Y2",,,,,,,,CA,,8/8/2014,D,,
30858,2,"TILLEY, CARSON & FINDLAY",,44 King Street West,Toronto,Canada M5H 1G4,,,,,,,,CA,,8/8/2014,D,,
30862,2,IINUMA PATENT OFFICE,,"Room 706, Odakyu Shinanomachi Mansions",5-3 Minamimotomachi,"Shinjuku-Ku, Tokyo, Japan",,,,,,,,JPN,,8/8/2014,D,,
30877,1,SHINOHARA & COMPANY,,"2nd Fl., Chiyoda K Bldg.","7-14, Kudan Minami 3-chome","Chiyoda-ku, Tokyo 102-0074 Japan",,813-3511-9655,,,,813-6268-9650,,JPN,,8/8/2014,D,,
30881,2,EURO-SWISS MEAT PROCESSING CORPORATION,,7431 Yakal Street,Makati City,,,,,,,,,,,8/8/2014,P,Attn.: MR. WERNER BERGER,Attn.: MR. WERNER BERGER
30896,2,IZA NG YEOH & KIT,,"9th Floor, Bangunan Dato Zainal","23 Jalan Melaka, 50100 Kuala Lumpur",,,,,,,,,MY,,8/8/2014,D,,
30909,2,"LIDDY SULLIVAN GALWAY BEGLER & PEROFF, P.C.",,"703 Third Avenue, 14th Flr.","New York, New York 10017-4101",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30913,2,"ALLEN ARTHUR (MANILA), INC.",,"Km. 17-8, West Service Road",Paranaque City,,,,,,,,,PH,,8/8/2014,P,,
30928,,"AVON PRODUCTS MFG., INC.",,"4th Floor, Fortune Building",160 Legazpi Street,"Legazpi Village, City of Makati",,,,,,,,PH,,8/8/2014,,,
30930,,"AVON PRODUCTS MFG., INC.",,"150 E. Rodriguez Jr., Avenue","Bagumbayan, Quezon City",,,,,,,,,,,8/8/2014,,Attention: MS. VIDA P. AURELIO,Attention: MS. VIDA P. AURELIO
30932,2,KUWABARA & CO.,,"Suite 206, I-Town Plaza","6-21-1, Nishi-Shinjuku, Shinjuku-ku",Tokyo 163-8012 Japan,,813-630405455,patentkuwabara@nifty.com,,,813-63045450,,JPN,,8/8/2014,D,,
30947,2,PANASONIC CORPORATION,,Intellectual Property Rights Operations Company,"7F, OBP Panasonic Tower, Twin 21,","2-1-61, Shiromi, Chuo-ku","Osaka-shi, Osaka, 540-6207",,is@gg.jp.panasonic.com,,,6-6949-2524,,JPN,,8/8/2014,D,Masahiro Aizawa,Masahiro Aizawa
30951,2,"MESSRS. HIGUCHI, FUKUI & YOSHIDA",,Yamaoka Building 501,2-31 Tamatsukuri-Motomachi,"Tennoji-ku, Osaka 543 Japan",,,,,,,,JPN,,8/8/2014,D,,
30966,2,COMBUSTION ENGINEERING INC.,,1000 Prospect Hill Road,"P.O. Box 500 Windsor, Connecticutt",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
30970,2,HIROSHI TANAKA PATENT AGENCY BUREAU,,"Hougaku Bldg., 7F",19-14 Toranomon 1-chome,"Minato-ku, Tokyo 105, Japan",,,,,,,,JPN,,8/8/2014,D,,
30985,2,"PFIZER ,INC.-LEGAL DIV. TRADEMARK DEPT.",,North American Shared Services,P.O. Box 341829,"Bartlett, TN 38184-1829",Attn.: A/P Legal,,,,,,,USA,,8/8/2014,D,,
30988,2,"PFIZER, INC.",,NY Legal Finance,P.O. Box 341829,"Bartlett, TN 38184-1829",U. S. A.,,,,,,,USA,,8/8/2014,D,,
30991,,BEECHAM PRODUCTS,,St. George's Avenue,"Weybridge, Surrey, KT13 ODE",England,,,,,,,,END,,8/8/2014,,Patents Department,Patents Department
31009,,NESTOR DISTRIBUTORS (PHILS.) INC.,,"2174 Pasong Tamo St.,",Makati City,,,,,,,,,,,8/8/2014,,Attention:  MR. COLAYCO,Attention:  MR. COLAYCO
31013,2,"DONAHUE, GALLAGHER, WOODS & WOODS LLP.",,"1999 Harrison Street, 25th Floor",P.O. Box 12979,"Oakland, CA 94612",U. S. A.,,,,,,,USA,,8/8/2014,D,,
31028,2,DAVIES & COLLISON,,1 Little Collins Street,"Melbourne, Victoria 3000",Australia,,,,,,,,AUS,,8/8/2014,D,,
31030,2,DAVIES COLLISON CAVE,,1 Nicholson Street,Melbourne,Victoria 3000,, 613 92542770,mail@davies.com.au,,,? 9254 2777,,AUS,,8/8/2014,D,.,.
31032,2,R.G.C. JENKINS & CO.,,200 South Square Corporate Centre II,3708 Mayfair Street,"Durham, North Carolina 27707, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
31047,,IOLAB INC. (USA),,"Km. 15, Bo. Ibayo",Edison Road,"Paranaque, Metro Manila",,,,,,,,PH,,8/8/2014,,"c/o JOHNSON & JOHNSON (PHIL.), INC.","c/o JOHNSON & JOHNSON (PHIL.), INC."
31051,2,KOMATSU & WADA (formerly Mr. Kenji Wada),,"Bakuro-cho TY Bldg., ,  7F,","2-2-12, Nihonbashibakuro-cho","Chuo-ku, Tokyo, 103-0002",,813-6667-0625,komwad@ipa.rer.jp,,,813-3668-5177,,JPN,,8/8/2014,D,Takashi Komatsu,Takashi Komatsu
31066,2,ALLEGHENY  TECHNOLOGIES INC.,,Attn.: Patrick J. Vicarro,P.O. Box 981304,"El Paso, TX 79998-1304",,412.394.3010,pviccaro@allehhenytechnologies,,,412.394.2839,,USA,,8/8/2014,D,,
31070,2,S. YOSHIDA & ASSOCIATES,,1103 Harada Building,"14-2, 2-Chome Takadanobaba","Shinjuku-ku, Tokyo 169, Japan",,,,,,,,JPN,,8/8/2014,D,Attention: MR. SHIGEKI YOSHIDA,Attention: MR. SHIGEKI YOSHIDA
31085,2,"RANKIN, HUDAK & HILL",,600 Huntington Building,"Cleveland, Ohio 44115",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
31091,1,"UNIVERSAL GOURMET FOODS, INC.",,Basement New Plaza Bldg.,Greenbelt  Center,Makati City,,,,,,,,PH,,8/8/2014,P,c/o Prince of Wales,c/o Prince of Wales
31102,2,NORANDA INC.,,Noranda Technology Transfer,240 Hymus Boulevard Pointe-Claire (Quebec),CANADA H9R 1G5,,,,,,,,CA,,8/8/2014,D,.,.
31117,,IWANAGA PATENT OFFICE,,"Nishimoto Building, 1-7-21","Nishi-honmachi, Nishi-ku,","Osaka, Japan",,,,,,,,JPN,,8/8/2014,,,
31121,2,CHUAN TAI,,"ADD:4/F, No. 36 Heng Yang Road","Taipei, Taiwan R.O.C.",,,,,,,,,,,8/8/2014,D,,
31136,,"WELDON F. GREEN, Q.C.",,The Thomson Building,"65 Queen Street West, Suite 1601,","Toronto, Ontario, Canada",,,,,,,,CA,,8/8/2014,,,
31140,,J.W. MALLORY & ASSOCIATES,,804 Cedar Lake Drive,"Conyers, Georgia 30208",U.S.A.,,,,,,,,USA,,8/8/2014,,Attention:  MR. J.W. MALLORY,Attention:  MR. J.W. MALLORY
31155,2,"WESTMAN, CHAMPLIN & KELLY",,Suite 600 International Center,"900 Second Ave., South Minneapolis","Minnesota 55402-3319, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
31161,,SHIMOYAMA PATENT & TRADEMARK,,"Shuwa Bldg.-1026,","1-7, Akasaka 9-Chome,","Minato-ku, Tokyo 107, Japan",,,,,,,,JPN,,8/8/2014,,,
31174,,"MARKS, MURASE & WHITE",,Suite 750,"2001 L Street, N. W.","Washington, D.C. 20036, U. S. A.",,,,,,,,USA,,8/8/2014,,,
31189,2,"JOHNSON & JOHNSON (Philippines), Inc.",,TIN 000-409-474-0000,"Km. 14 Edison Road Merville,",City of Paranaque NCR,Fourth District Philippines 17000,,,,,,,PH,,11/21/2018,P,,J&J Mailroom
31193,0,JOHNSON & JOHNSON LIMITED MAIDENHEAD,,Trademark Law Department,One Johnson & Johnson Plaza,"New Brunswick, New Jersey 08933",,,,,,,,USA,,8/8/2014,D,Attn.:  MR. RICHARD F. BIRIBAUER,Attn.:  MR. RICHARD F. BIRIBAUER
31206,2,ARTHUR LOKE & PARTNERS,,6 Temasek Boulevard,#25-02 Suntec Tower Four,Singapore 038986,,,rozi@arthurloke.come,,,,,SG,,8/8/2014,D,,
31210,,"JOHNSON & JOHNSON (PHILS.), INC.",,"Km. 15, Bo. Ibayo","Edison Road, Paranaque",Metro Manila,,,,,,,,PH,,8/8/2014,,Attention:  ATTY. DANNY LOREDO,Attention:  ATTY. DANNY LOREDO
31225,2,JOHNSON & JOHNSON,,Trademark Law Dept.-,One Johnson & Johnson Plaza,"New Brunswick, NJ 08933-70016",,,,,,,,USA,,8/8/2014,D,Corporate Headquarters,Corporate Headquarters
31231,2,NORTEL NETWORKS LIMITED,,5945 Airport Road,"Suite 360, Ms V4702002","Mississauga, ON","CANADA, L4V 1R9",905-863-1626,hcreamer@nortel.com,,,905-863-1168,,CA,,8/8/2014,D,Ms. Holly Creamer,Ms. Holly Creamer
31244,2,"ASIAWEEK, LIMITED",,"34th Floor, Citicorp Centre",18 Whitfield Road,"Causeway Bay, Hong Kong",,,,,,,,HK,,8/8/2014,D,,
31259,2,NEC PLATFORMS LTD.,,"2-6-1, Kitamikata, Takatsu-ku, Kawasaki,",Kanagawa 213-8511,Japan,JPN,81-44-4635-5152,,,,81-44-4635-5146,,JPN,,1/27/2015,D,,
31263,2,H. J. HEINZ COMPANY,,P. O. Box 57,"Pittsburg, Pennsylvania 15230-0057",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
31278,0,JANSSEN PHARMACEUTICA,,"Johnson & Johnson Phils., Compound","Edison Road, Bo. Ibayo",1700 Paranaque City,,,,,,,,PH,,8/8/2014,P,Attention: MR. AUGUSTO RAMIREZ,Attention: MR. AUGUSTO RAMIREZ
31282,2,RATNER & PRESTIA,,P. O. Box 980,"Valley Forge, Pennsylvania 19482-0980",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
31297,2,"CLARKE, MODET & CO.",,28760 Tres Cantos,Madrid,Spain,,,,,,,,ES,,8/8/2014,D,"Avenida de los Encuartes, 21","Avenida de los Encuartes, 21"
31301,2,PHAM & ASSOCIATES,,"8, Tran Hung Dao Street",P.O. Box 641,"Hanoi, Vietnam",,,,,,,,,,8/8/2014,D,,
31314,2,"WEINGARTEN , SCHURGIN, GAGNEBIN & HAYES",,TEN POST OFFICE SQUARE,"BOSTON, MASSACHUSETTS 02109",U.S.A.,,(617) 451-0313,,,,(617) 542 2290,,USA,,8/8/2014,D,STANLEY M. SCHURGIN,STANLEY M. SCHURGIN
31329,2,INAGI PATENT OFFICE,,Nishiwaki Bldg. 1,Koujimachi 4-chome,"Chiyoda-ku, Tokyo 102-0083",JAPAN,,,,,,,JPN,,8/8/2014,D,,
31333,2,INVENTIO AG,,"Postfach,6052 Hergiswill",Switzerland,,SWITZERLAND,0041 416328525,,,,0041 416328510,,SW,,8/8/2014,D,,
31348,2,GIVAUDAN-ROURE (INTERNATIONAL) SA,,CH-4002 Basel,Switzerland,,,,,,,,,,,8/8/2014,D,Trademarks,Trademarks
31352,2,"TOYAMA CHEMICAL CO., LTD.",,"2-5, 3-chome, Nishishinjuku",Shinjuku-ku,"Tokyo, Japan",,,,,,,,JPN,,8/8/2014,D,,
31367,2,TAKATSUKI & ASSOCIATES,,"11-9, Nibancho","Chiyoda-ku, 102 Tokyo",Japan,,,,,,,,JPN,,8/8/2014,D,Daiapalace Nibancho 506,Daiapalace Nibancho 506
